method,target_direction,target_angle_deg,target_axis,frames_total,frames_valid,valid_percent,mae_axis_deg,rmse_axis_deg,std_axis_error_deg,max_axis_error_deg,mean_measured_axis_deg,std_measured_axis_deg
laser,ALL,ALL,ALL,5104,4712,92.3197,2.8743,5.9063,5.1603,55.9530,8.4869,18.6976
laser,CENTER,0.000,center,515,492,95.5340,1.7109,4.1855,3.8237,33.5440,1.7109,3.8237
laser,LEFT,11.000,yaw,505,434,85.9406,2.7203,6.0865,5.4511,42.3530,-9.7174,5.9567
laser,LEFT,22.000,yaw,504,333,66.0714,4.2948,9.3448,8.3119,55.9530,-18.8452,8.8094
laser,LEFT,31.000,yaw,508,405,79.7244,3.6512,8.0786,7.2154,54.8020,-27.6498,7.3603
laser,RIGHT,11.000,yaw,513,511,99.6101,1.8826,3.2811,2.6898,26.4720,11.7718,3.1921
laser,RIGHT,22.000,yaw,511,504,98.6301,3.0343,5.9702,5.1467,53.3460,22.4615,5.9582
laser,RIGHT,31.000,yaw,512,507,99.0234,2.8270,5.6784,4.9296,32.5940,30.4300,5.6553
laser,UP,11.000,pitch,513,512,99.8051,1.2795,3.1642,2.8967,48.9520,10.0741,3.0286
laser,UP,22.000,pitch,509,504,99.0177,3.2921,5.4581,4.3579,22.7520,18.8119,4.4347
laser,UP,31.000,pitch,514,510,99.2218,4.6543,6.8907,5.0863,31.0000,26.3457,5.0863
face_geometry,ALL,ALL,ALL,5104,5103,99.9804,4.9211,7.0032,4.9832,57.3790,6.6235,19.4048
face_geometry,CENTER,0.000,center,515,515,100.0000,2.1866,4.0691,3.4351,39.1250,2.1866,3.4351
face_geometry,LEFT,11.000,yaw,505,505,100.0000,8.6200,9.7338,4.5258,44.1690,-3.2545,5.9012
face_geometry,LEFT,22.000,yaw,504,504,100.0000,3.2727,6.0548,5.0992,55.1960,-19.0250,5.2787
face_geometry,LEFT,31.000,yaw,508,507,99.8031,4.1188,6.5829,5.1403,57.3790,-28.9193,6.2516
face_geometry,RIGHT,11.000,yaw,513,513,100.0000,4.5570,5.9511,3.8312,19.0340,8.6147,5.4575
face_geometry,RIGHT,22.000,yaw,511,511,100.0000,4.0421,6.1668,4.6619,51.1170,24.3155,5.7212
face_geometry,RIGHT,31.000,yaw,512,512,100.0000,3.4201,5.4415,4.2365,31.0000,32.7098,5.1710
face_geometry,UP,11.000,pitch,513,513,100.0000,4.7225,5.4001,2.6215,18.3760,7.6237,4.2186
face_geometry,UP,22.000,pitch,509,509,100.0000,6.8709,8.6625,5.2805,32.7000,16.4410,6.6500
face_geometry,UP,31.000,pitch,514,514,100.0000,7.4342,9.6167,6.1063,40.3300,24.7015,7.2742
